;Columna1;Columna2
425;'Yopal';Aeropuerto El Alcaraván (EYP)
426;Montería';Aeropuerto Los Garzones (MTR)
427;Quibdó';Aeropuerto El Caraño (UIB)
428;'Neiva';Aeropuerto Benito Salas (NVA)
429;'Santa Marta';Aeropuerto Internacional Simón Bolívar (SMR)
430;Cúcuta';Aeropuerto Internacional Camilo Daza (CUC)
431;'Armenia';Aeropuerto Internacional El Edén (AXM)
432;'Pereira';Aeropuerto Internacional Matecaña (PEI)
433;'Barrancabermeja';Aeropuerto Nacional Yariguíes (EJA)
434;'Bucaramanga';Aeropuerto Internacional Palonegro (BGA)
435;Isla de San Andrés';Aeropuerto Internacional Gustavo Rojas Pinilla (ADZ)
436;Ibagué';Aeropuerto Perales (IBE)
437;'Buenaventura';Aeropuerto Gerardo Tobar López (BUN)
438;'Cali';Aeropuerto Internacional Alfonso Bonilla Aragón (CLO)
439;'Quito';Aeropuerto Internacional Mariscal Sucre (UIO)
440;'Quito';Aeropuerto Internacional de Quito (UIO)
441;'Baltra';Aeropuerto Seymour de Baltra (GPS)
442;San Cristóbal';Aeropuerto de San Cristóbal (SCY)
443;'Latacunga';Aeropuerto Internacional Cotopaxi – Latacunga (LTX)
444;'Cuenca';Aeropuerto Internacional Mariscal Lamar (CUE)
445;'Esmeraldas';Aeropuerto Internacional General Rivadeneira (ESM)
446;'Guayaquil';Aeropuerto Internacional José Joaquín de Olmedo (GYE)
447;'Catamayo';Aeropuerto Camilo Ponce Enríquez – Loja (LOH)
448;'Manta';Aeropuerto Internacional Eloy Alfaro – Manta (MEC)
449;'Macas';Aeropuerto Coronel Edmundo Carvajal – Macas (XMS)
450;'Puerto Francisco de Orellana';Aeropuerto Francisco de Orellana (OCC)
451;'Salinas';Aeropuerto General Ulpiano Paez (SNC)
452;'Nueva Loja';Aeropuerto de Nueva Loja (LGQ)
453;Asunción';Aeropuerto Internacional Silvio Pettirossi (ASU)
454;'Ciudad del Este';Aeropuerto Internacional Guaraní (AGT)
455;'Mariscal Estigarribia';Aeropuerto Internacional Dr. Luis María Argaña (ESG)
456;'Lima';Aeropuerto Internacional Jorge Chávez (LIM)
457;'Chachapoyas';Aeropuerto de Chachapoyas (CHH)
458;'Arequipa';Aeropuerto Internacional Rodríguez Ballón (AQP)
459;'Huamanga';Aeropuerto Coronel FAP Alfredo Mendivil Duarte (AYP)
460;'Cajamarca';Aeropuerto Mayor General FAP Armando Revoredo Iglesias (CJA)
461;'Cuzco';Aeropuerto Internacional Alejandro Velasco Astete (CUZ)
462;'Chiclayo';Aeropuerto Internacional Capitán FAP José A. Quiñones (CIX)
463;'Iquitos';Aeropuerto Internacional de Iquitos (IQT)
464;'Trujillo';Aeropuerto Internacional Capitán FAP Carlos Martínez de Pinillos (TRU)
465;'Puerto Maldonado';Aeropuerto Internacional de Puerto Maldonado (PEM)
466;'Piura';Aeropuerto Internacional Capitán FAP Guillermo Concha Iberico (PIU)
467;'Juliaca';Aeropuerto Internacional Inca Manco Cápac (JUL)
468;'Tarapoto';Aeropuerto Cadete FAP Guillermo del Castillo Paredes (TPP)
469;'Tacna';Aeropuerto Internacional Coronel FAP Carlos Ciriani Santa Rosa (TCQ)
470;'Tumbes';Aeropuerto Capitán FAP Pedro Canga Rodríguez (TBP)
471;'Pucallpa';Aeropuerto Internacional Capitán FAP David Abensur Rengifo (PCL)
472;'Paramaribo';Aeropuerto Internacional Johan Adolf Pengel (PBM)
473;'Montevideo';Aeropuerto Internacional de Carrasco (MVD)
474;'Artigas';Aeropuerto Internacional de Artigas (ATI)
475;'Punta del Este';Aeropuerto Internacional de Laguna del Sauce (PDP)
476;'Rivera';Aeropuerto Internacional Presidente Gral Oscar Gestido (RVY)
477;Maiquetía- Caracas';Aeropuerto Internacional de Maiquetí­a Simón Bolí­var (CCS)
478;'Puerto Ayacucho';Aeropuerto Cacique Aramare (PYH)
479;'Barcelona';Aeropuerto Internacional General José Antonio Anzoátegui (BLA)
480;'Barinas';Aeropuerto Nacional de Barinas (BNS)
481;'Canaima';Aeropuerto Parque Nacional Canaima (CAJ)
482;'Ciudad Bolivar';Aeropuerto Nacional Tomas de Heres (CBL)
483;'Gran Sabana';Aeropuerto de Santa Elena de Uairén (SNV)
484;'Puerto Ordaz';Aeropuerto Internacional Manuel Carlos Piar (PZO)
485;'Valencia';Aeropuerto Internacional Arturo Michelena (VLN)
486;'Coro';Aeropuerto Internacional José Leonardo Chirino (CZE)
487;'Punto Fijo';Aeropuerto Internacional Josefa Camejo (LSP)
488;'Barquisimeto';Aeropuerto Internacional Jacinto Lara (BRM)
489;Mérida';Aeropuerto Alberto Carnevalli (MRD)
490;Maturín';Aeropuerto Internacional José Tadeo Monagas (MUN)
491;'Isla de Margarita';Aeropuerto Internacional del Caribe Santiago Mariño (PMV)
492;Cumaná';Aeropuerto Internacional Antonio José de Sucre (CUM)
493;'Santo Domingo';Aeropuerto Internacional de Santo Domingo (STD)
494;San Antonio del Táchira';Aeropuerto Internacional Juan Vicente Gómez (SVZ)
495;'Maracaibo';Aeropuerto Internacional de La Chinita (MAR)
496;'Santa Barbara del Zulia';Aeropuerto Miguel Urdaneta Fernández (STB)
497;'Riad';Aeropuerto Internacional King Khalid (RUH)
498;'Jeddah';Aeropuerto Internacional Rey Abdulaziz (JED)
499;Pekín';Aeropuerto Internacional de Pekín (PEK)
500;Cantón';Aeropuerto Internacional de Cantón Baiyun (CAN)
501;'Foshan';Aeropuerto Internacional Foshan Shadi (FUO)
502;'Hong Kong';Aeropuerto Internacional de Hong Kong (HKG)
503;Shanghái';Aeropuerto Internacional de Shanghái Pudong (PVG)
504;Taiwán';Aeropuerto Internacional de Taiwán Taoyuan (TPE)
505;'Tianjin';Aeropuerto Internacional de Tianjin Binhai (TSN)
506;Xi´an';Aeropuerto Internacional de Xi’an Xianyang (XIY)
507;'Pyongyang';Aeropuerto Internacional de Sunan (FNJ)
508;Seúl';Aeropuerto Internacional de Incheon (ICN)
509;Seúl';Aeropuerto Internacional de Gimpo (GMP)
510;'Isla de Jeju';Aeropuerto Internacional de Jeju (CJU)
511;'Abu Dhabi';Aeropuerto Internacional de Abu Dhabi (AUH)
512;Dubái';Aeropuerto Internacional de Dubái (DXB)
513;'Sharjah';Aeropuerto Internacional de Sharjah (SHJ)
514;'Manila';Aeropuerto Internacional Ninoy Aquino (MNL)
515;'Nueva Delhi';Aeropuerto Internacional Indira Gandhi (DEL)
516;'Bombay';Aeropuerto Internacional Chhatrapati Shivaji (BOM)
517;'Yakarta';Aeropuerto Internacional de Soekarno-Hatta (CGK)
518;'Bagdad';Aeropuerto Internacional de Bagdad (BGW)
519;'Tel Aviv';Aeropuerto Internacional Ben Gurión (TLV)
520;'Tokio';Aeropuerto Internacional de Tokio (HND)
521;'Chiba';Aeropuerto Internacional de Narita (NRT)
522;'Fukuoka';Aeropuerto de Fukuoka (FUK)
523;'Hakodate';Aeropuerto de Hakodate (HKD)
524;'Hiroshima';Aeropuerto de Hiroshima (HIJ)
525;'Ibaraki';Aeropuerto de Ibaraki (IBR)
526;'Ishigaki';Aeropuerto de Ishigaki (ISG)
527;'Nagasaki';Aeropuerto de Nagasaki (NGS)
528;'Nagoya';Aeropuerto Internacional Chubu Centrair (NGO)
529;'Okayama';Aeropuerto de Okayama (OKJ)
530;'Osaka';Aeropuerto Internacional de Kansai (KIX)
531;'Osaka';Aeropuerto Internacional de Osaka (ITM)
532;'Shizuoka';Aeropuerto Mt. Fuji Shizuoka (FSZ)
533;'Ciudad de Kuwait';Aeropuerto Internacional de Kuwait (KWI)
534;'Beirut';Aeropuerto Internacional Rafic Hariri de Beirut (BEY)
535;'Kuala Lumpur';Aeropuerto Internacional de Kuala Lumpur (KUL)
536;'Penang';Aeropuerto Internacional de Penang (PEN)
537;'Kota Kinabalu';Aeropuerto Internacional Kota Kinabalu (BKI)
538;Moscú';Aeropuerto Internacional de Moscú-Sheremetyevo (SVO)
539;Moscú';Aeropuerto Internacional de Moscú-Domodedovo (DME)
540;Moscú';Aeropuerto Internacional de Moscú-Vnukovo (VKO)
541;Púlkovo-San Petersburgo';Aeropuerto de Púlkovo-San Petersburgo (LED)
542;'Singapur';Aeropuerto de Singapur (SIN)
543;'Bangkok';Aeropuerto Internacional de Bangkok (BKK)
544;'Chiang Mai';Aeropuerto Internacional de Chiang Mai (CNX)
545;'Phuket';Aeropuerto Internacional de Phuket (HKT)
546;'Brisbane';Aeropuerto de Brisbane (BNE)
547;'Melbourne';Aeropuerto de Melbourne (MEL)
548;Sídney';Aeropuerto de Sí­dney (SYD)
549;'Auckland';Aeropuerto Internacional de Auckland (AKL)
550;'Wellington';Aeropuerto Internacional de Wellington (WLG)
551;Tahití';Aeropuerto Internacional Faa’a (PPT)
