;Columna1;Columna2
105;'Atenas';Aeropuerto Internacional Eleftherios Venizelos (ATH)
106;Ámsterdam';Aeropuerto de Ámsterdam-Schiphol (AMS)
107;'Eindhoven';Aeropuerto de Eindhoven (EIN)
108;'Groningen';Aeropuerto de Groningen Eelde (GRQ)
109;Róterdam';Aeropuerto de Róterdam (RTM)
110;'Budapest';Aeropuerto de Budapest-Ferenc Liszt (BUD)
111;Dublín';Aeropuerto de Dublín (DUB)
112;'Shannon';Aeropuerto Internacional de Shannon (SNN)
113;'Roma';Aeropuerto de Roma-Fiumicino (FCO)
114;'Roma';Aeropuerto de Roma-Ciampino (CIA)
115;'Alghero';Aeropuerto de Alghero-Fertilia (AHO)
116;Cerdeña';Aeropuerto de Cagliari-Elmas (CAG)
117;'Ancona';Aeropuerto de Ancona-Falconara (AOI)
118;Bérgamo';Aeropuerto de Bérgamo-Orio al Serio (BGY)
119;'Brescia';Aeropuerto de Brescia (VBS)
120;Milán';Aeropuerto de Milán-Linate (LIN)
121;Milán';Aeropuerto de Milán-Malpensa (MXP)
122;'Bari';Aeropuerto de Bari-Palese (BRI)
123;'Cosenza';Aeropuerto de Reggio di Calabria (REG)
124;'Toscana';Aeropuerto de Florencia (FLR)
125;'Liguria';Aeropuerto de Génova (GOA)
126;Nápoles';Aeropuerto de Nápoles-Capodichino (NAP)
127;'Parma';Aeropuerto de Parma-Giuseppe Verdi (PMF)
128;Rímini';Aeropuerto de Rímini (RMI)
129;'Bolonia';Aeropuerto de Bolonia (BLQ)
130;'Forli';Aeropuerto de Forli (FRL)
131;'Palermo';Aeropuerto de Palermo-Punta Raisi (PMO)
132;'Catania';Aeropuerto de Catania-Fontanarossa (CTA)
133;'Perugia';Aeropuerto de Perugia (PEG)
134;'Pisa';Aeropuerto Internacional Galileo Galilei (PSA)
135;Turín';Aeropuerto de Turín-Caselle (TRN)
136;'Venecia';Aeropuerto de Venecia-Marco Polo (VCE)
137;'Verona';Aeropuerto de Verona-Villafranca (VRN)
138;'Riga';Aeropuerto Internacional de Riga (RIX)
139;'Luxemburgo';Aeropuerto de Luxemburgo (LUX)
140;'Oslo';Aeropuerto de Oslo-Gardermoen (OSL)
141;'Bergen';Aeropuerto de Bergen-Flesland (BGO)
142;'Varsovia';Aeropuerto de Varsovia-Frédéric Chopin (WAW)
143;'Cracovia';Aeropuerto de Cracovia Juan Pablo II (KRK)
144;'Lisboa';Aeropuerto de Lisboa Portela (LIS)
145;'Faro';Aeropuerto Internacional de Faro (FAO)
146;Isla Terceira Archipiélago de las Azores';Aeropuerto de Lajes (TER)
147;'Madeira';Aeropuerto de Madeira (FNC)
148;'Oporto';Aeropuerto Francisco Sá Carneiro (OPO)
149;'Ponta Delgada Islas Azores';Aeropuerto Juan Pablo II (PDL)
150;'Edimburgo';Aeropuerto de Edimburgo (EDI)
151;'Glasgow';Aeropuerto Internacional de Glasgow (GLA)
152;'Glasgow';Aeropuerto de Glasgow Prestwick (PIK)
153;'Londres';Aeropuerto de Ciudad de Londres (LCY)
154;'Crawley';Aeropuerto de Londres-Gatwick (LGW)
155;'Hillingdon';Aeropuerto de Londres-Heathrow (LHR)
156;'Bedfordshire';Aeropuerto de Londres-Luton (LTN)
157;'Oxfordshire';Aeropuerto de Londres-Oxford (OXF)
158;'Essex';Aeropuerto de Londres-Southend (SEN)
159;'Essex';Aeropuerto de Londres-Stansted (STN)
160;'Birmingham';Aeropuerto Internacional de Birmingham (BHX)
161;'Bristol';Aeropuerto Internacional de Bristol (BRS)
162;'Liverpool';Aeropuerto Internacional de Liverpool (LPL)
163;Mánchester';Aeropuerto de Mánchester (MAN)
164;'Newcastle';Aeropuerto Internacional de Newcastle (NCL)
165;'Gibraltar';Aeropuerto de Gibraltar (GIB)
166;Islas Caimán';Aeropuerto de Islas Caimán (GCM)
167;'Praga';Aeropuerto de Praga (PRG)
168;'Bucarest';Aeropuerto Internacional de Bucarest-Henri Coand? (OTP)
169;'Estocolmo';Aeropuerto de Estocolmo-Arlanda (ARN)
170;'Estocolmo';Aeropuerto de Estocolmo-Bromma (BMA)
171;'Estocolmo';Aeropuerto de Estocolmo-Skavsta (NYO)
172;'Estocolmo';Aeropuerto de Estocolmo-Västerås (VST)
173;'Landvetter';Aeropuerto de Gotemburgo-Landvetter (GOT)
174;Zúrich';Aeropuerto de Zúrich (ZRH)
175;'Berna';Aeropuerto de Berna (BRN)
176;'Ginebra';Aeropuerto Internacional de Ginebra (GVA)
177;'Estambul';Aeropuerto Internacional Atatürk (IST)
178;'El Cairo';Aeropuerto Internacional de El Cairo (CAI)
179;Alejandría';Aeropuerto Internacional de Alejandría (ALY)
180;Asuán';Aeropuerto Internacional de Asuán (ASW)
181;'Hurghada';Aeropuerto Internacional de Hurghada (HRG)
182;'Luxor';Aeropuerto Internacional de Luxor (LXR)
183;'Marsa Alam';Aeropuerto Internacional de Marsa Alam (RMF)
184;'Sharm el-Sheij';Aeropuerto Internacional de Sharm el-Sheij (SSH)
185;'Taba';Aeropuerto Internacional de Taba (TCP)
